new_path;depth;product_count;merged_from_old_paths_count;old_paths
Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely;2;113;5;"Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Doplnky a príslušenstvo; Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Na rovnou střechu; Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Na šikmou střechu; Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Profily a lišty; Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Spojovacie materiál"
Dróny a RC modely > Príslušenstvo pre drony > Filtre pre drony;2;112;1;
Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo;2;111;6;"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo; Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Kettlebell; Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Závažia; Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky jednoruční; Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky nastaviteľné; Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky obouruční, osy"
Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie);1;110;1;
Foto a príslušenstvo > Príslušenstvo > Pre fotoaparáty a videokamery;2;109;1;
Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku;2;104;3;"Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku; Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku > Chráničky; Fotovoltaika a energie > Fotovoltaika > Káble pre fotovoltaiku > Silové káble"
Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy;2;103;5;"Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy; Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy > aktívne; Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy > pasívne; Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy > príslušenstvo; Profesionálna audio technika > Pódium, diskotéka, DJ > reproduktorové systémy > subwoofery"
TV, audio a video > Audio technika > Príslušenstvo k audio technike;2;102;1;
Šport, hračky a voľný čas > Outdoor > Svietidlá;2;101;3;"Šport, hračky a voľný čas > Outdoor > Svietidlá; Šport, hračky a voľný čas > Outdoor > Svietidlá > Ostatné; Šport, hračky a voľný čas > Outdoor > Svietidlá > Čelovky"
Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie;2;101;6;"Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie; Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie > 3.5/2.5mm; Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie > 6.3mm; Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie > RCA; Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie > Speakon/Powercon; Profesionálna audio technika > Káble, konektory a redukcie > Konektory a redukcie > XLR"
Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory;2;100;3;"Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory; Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V; Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 6V"
Počítače a notebooky > Herné príslušenstvo > Skrine;2;99;2;"Počítače a notebooky > Herné príslušenstvo > Skrine > Bez ventilátora; Počítače a notebooky > Herné príslušenstvo > Skrine > S ventilátorom"
Elektroinštalačný materiál > Ventilačné technika > Vzduchovody;2;99;7;"Elektroinštalačný materiál > Ventilačné technika > Vzduchovody; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Ohebné potrubie - ALU; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné kruhové potrubie - PVC; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné kruhové potrubie - PVC > Príslušenstvo pre pevné kruhové potrubie - PVC; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné ploché potrubie - PVC; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné ploché potrubie - PVC > Príslušenstvo pre pevné ploché potrubie - PVC; Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Príslušenstvo pre vzduchovody"
Bezpečnosť a smart domácnosť > Riadiace jednotky > Smart ovládače;2;98;1;
Foto a príslušenstvo > Selfie tyče > Postroje, upevňovacie prvky a držiaky;2;93;1;
Počítače a notebooky > Herné príslušenstvo > Simulátory;2;91;2;"Počítače a notebooky > Herné príslušenstvo > Simulátory > Simulácia letu; Počítače a notebooky > Herné príslušenstvo > Simulátory > Simulácia pretekov"
Auto-moto > Vybavenie auta > Cestovné doplnky;2;91;1;
Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky;2;90;5;"Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky > Príslušenstvo k statívom a držiakom; Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky > Statívy pre hudobné nástroje a noty; Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky > mikrofónové podlahové; Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky > mikrofónové stolové; Profesionálna audio technika > Pódium, diskotéka, DJ > Statívy/držiaky > reproduktorov"
Foto a príslušenstvo > Fotoateliér > Svietidlá;2;88;1;
Fotovoltaika a energie > Fotovoltaika > Rozvádzače;2;86;4;"Fotovoltaika a energie > Fotovoltaika > Rozvádzače; Fotovoltaika a energie > Fotovoltaika > Rozvádzače > Osadené AC rozvádzače; Fotovoltaika a energie > Fotovoltaika > Rozvádzače > Osadené DC rozvádzače; Fotovoltaika a energie > Fotovoltaika > Rozvádzače > Samostatné rozvádzače"
Malé spotrebiče > Príprava nápojov > Rýchlovarné kanvice;2;85;1;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Rýchlovarné kanvice
Mobily, smart hodinky a tablety > Nositeľná elektronika > Smart prstene;2;84;1;
TV, audio a video > Audio technika > Mikrofóny;2;84;3;"TV, audio a video > Audio technika > Mikrofóny; TV, audio a video > Audio technika > Mikrofóny > Hry; TV, audio a video > Audio technika > Mikrofóny > Klopové mikrofóny"
Bezpečnosť a smart domácnosť > Prvky výkonu > Senzory pre smart domácnosť;2;84;1;
TV, audio a video > Antény a satelity > Konektory;2;83;6;"TV, audio a video > Antény a satelity > Konektory; TV, audio a video > Antény a satelity > Konektory > F konektory; TV, audio a video > Antény a satelity > Konektory > IEC konektory; TV, audio a video > Antény a satelity > Konektory > Kompresné a krimpovacie; TV, audio a video > Antény a satelity > Konektory > Montážne náradie; TV, audio a video > Antény a satelity > Konektory > Redukcie"
Malé spotrebiče > Upratovacie pomôcky > Mopy a upratovacie súpravy;2;82;1;Domáce spotrebiče > Malé spotrebiče > Upratovacie pomôcky > Mopy a upratovacie súpravy
Bezpečnosť a smart domácnosť > Kamerové systémy > IP sieťové kamery;2;81;3;"Bezpečnosť a smart domácnosť > Kamerové systémy > IP sieťové kamery; Bezpečnosť a smart domácnosť > Kamerové systémy > IP sieťové kamery > 2.0 Mpix. (Full HD) / 2.4 Mpix; Bezpečnosť a smart domácnosť > Kamerové systémy > IP sieťové kamery > 4.0 Mpix."
Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky;2;80;5;"Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky; Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Autopojistky; Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm pomalé (T); Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 5x20mm rychlé (F); Náradie a dielňa > Elektronické súčiastky > Poistky, pojistkové držiaky > Poistky 6x30mm"
Počítače a notebooky > Tablety;1;79;1;
Profesionálna audio technika > Pódium, diskotéka, DJ > Audio procesory;2;79;1;
Počítače a notebooky;0;78;1;
Bezpečnosť a smart domácnosť > Smart domácnosť;1;78;1;
Elektroinštalačný materiál > Osvetlenie > LED pásky;2;78;4;"Elektroinštalačný materiál > Osvetlenie > LED pásky; Elektroinštalačný materiál > Osvetlenie > LED pásky > LED pásiky; Elektroinštalačný materiál > Osvetlenie > LED pásky > Napájacie zdroje 12V; Elektroinštalačný materiál > Osvetlenie > LED pásky > Príslušenstvo"
Elektroinštalačný materiál > Osvetlenie > LED svietidlá;2;78;1;
Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vrecká do vysávačov;2;77;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vrecká do vysávačov
TV, audio a video > Antény a satelity > ZOSILŇOVAČE;2;74;4;"TV, audio a video > Antény a satelity > ZOSILŇOVAČE; TV, audio a video > Antény a satelity > ZOSILŇOVAČE > Domové; TV, audio a video > Antény a satelity > ZOSILŇOVAČE > K anténě; TV, audio a video > Antény a satelity > ZOSILŇOVAČE > Programovatelné"
Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Vidlica a zásuvky;2;74;1;
Dróny a RC modely > Príslušenstvo pre drony > DJI;2;73;1;
TV, audio a video > Antény a satelity > Antény;2;72;6;"TV, audio a video > Antény a satelity > Antény; TV, audio a video > Antény a satelity > Antény > Antény VKV - FM - DAB+; TV, audio a video > Antény a satelity > Antény > Antény pre obytné autá a lode; TV, audio a video > Antény a satelity > Antény > DVB-T antény; TV, audio a video > Antény a satelity > Antény > TV antény pokojové; TV, audio a video > Antény a satelity > Antény > TV antény vonkajšie"
Profesionálna audio technika > Pódium, diskotéka, DJ > zosilňovače;2;72;2;"Profesionálna audio technika > Pódium, diskotéka, DJ > zosilňovače > stereo; Profesionálna audio technika > Pódium, diskotéka, DJ > zosilňovače > viackanálové"
Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky;2;72;5;"Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky > Káblové gelové spojky; Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky > Káblové gelové spojky > Dvousložkové zalévací gély; Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky > Káblové gelové spojky > Káblové gelové spojky EVO IP68; Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky > Káblové gelové spojky > Káblové gelové spojky SHARK; Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblové spojky > Ostatné káblové spojky"
Auto-moto > Garáž, Dielňa, Servis > Elektroinštalačný materiál;2;72;4;"Auto-moto > Garáž, Dielňa, Servis > Elektroinštalačný materiál; Auto-moto > Garáž, Dielňa, Servis > Elektroinštalačný materiál > Káblová oká; Auto-moto > Garáž, Dielňa, Servis > Elektroinštalačný materiál > Poistky; Auto-moto > Garáž, Dielňa, Servis > Elektroinštalačný materiál > Redukcie, predlžovacie káble pre připojení přívěsu"
Počítače a notebooky > Sieťové prvky > WiFi routery;2;70;1;
Malé spotrebiče > Vysávače > Náhradné diely;2;70;1;Domáce spotrebiče > Malé spotrebiče > Vysávače > Náhradné diely
Elektroinštalačný materiál > Osvetlenie > LED reflektory;2;70;5;"Elektroinštalačný materiál > Osvetlenie > LED reflektory; Elektroinštalačný materiál > Osvetlenie > LED reflektory > Bílé svetlo; Elektroinštalačný materiál > Osvetlenie > LED reflektory > Prenosné; Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory bez senzora; Elektroinštalačný materiál > Osvetlenie > LED reflektory > Reflektory so stojanom"
Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Zásuvkové bloky a lišty;2;70;2;"Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Zásuvkové bloky a lišty; Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Zásuvkové bloky a lišty > Vymeniteľné moduly ORNO"
Počítače a notebooky > Mini PC;1;69;1;
Auto-moto > Karavany a obytná autá > Meniče napätie;2;69;1;
Auto-moto > Vybavenie auta > Autopotahy;2;69;3;"Auto-moto > Vybavenie auta > Autopotahy; Auto-moto > Vybavenie auta > Autopotahy > Ochrany sedadel; Auto-moto > Vybavenie auta > Autopotahy > Vyhřívané autopotahy"
Počítače a notebooky > Prenosné monitory;1;68;1;
Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače;2;68;6;"Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače > koncové; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače > mixážne; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače > príslušenstvo; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače > s malým výkonom; Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie) > Zosilňovače > zónové"
Profesionálna audio technika > Hudobné nástroje a príslušenstvo > Gitarové príslušenstvo;2;68;1;
Malé spotrebiče > Vysávače > Tyčové vysávače;2;66;1;Domáce spotrebiče > Malé spotrebiče > Vysávače > Tyčové vysávače
Bezpečnosť a smart domácnosť > Riadiace jednotky > Prepínače;2;66;1;
Zdravie a starostlivosť > Starostlivosť o zuby > Príslušenstvo k zubným kefkám;2;65;1;
Veľké spotrebiče > Chladničky > Kombinované chladničky;2;65;2;"Domáce spotrebiče > Veľké spotrebiče > Chladničky > Kombinované chladničky; Domáce spotrebiče > Veľké spotrebiče > Chladničky > Kombinované chladničky > Chladničky s mrazákom dole"
Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Viaczásuvkové;2;65;2;"Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Viaczásuvkové > Klasické; Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Viaczásuvkové > Ostatné"
Malé spotrebiče > Kávovary a espressá > Kávové kapsle;2;64;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávové kapsle
Malé spotrebiče > Fritézy a hrnce > Fritézy;2;64;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Fritézy
Náradie a dielňa > SPÁJKOVACIE TECHNIKA > Príslušenstvo pre spájkovačky;2;64;1;
Elektroinštalačný materiál > Montážne skrine a rozvádzače > Zásuvkové skrine;2;64;1;
Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;2;63;1;
Počítače a notebooky > Projektory a plátna > Projektory;2;63;1;
Náradie a dielňa > MERACIE TECHNIKA > Meranie neelektrických veličin;2;63;1;
Elektroinštalačný materiál > Káble a vodiče > Silové káble;2;63;1;
Auto-moto > Autorádiá > Reproduktory do autá;2;62;1;
Bezpečnosť a smart domácnosť > Prvky výkonu > Smart zástrčky;2;62;2;"Bezpečnosť a smart domácnosť > Prvky výkonu > Smart zástrčky; Bezpečnosť a smart domácnosť > Prvky výkonu > Smart zástrčky > Zásuvky"
Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače osadené;2;62;3;"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače osadené; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače osadené > AC rozvádzače; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Rozvádzače osadené > DC rozvádzače"
Elektroinštalačný materiál > Elektromery a spínacie technika > Elektromery na DIN lištu;2;62;2;"Elektroinštalačný materiál > Elektromery a spínacie technika > Elektromery na DIN lištu > 1-fázové elektromery; Elektroinštalačný materiál > Elektromery a spínacie technika > Elektromery na DIN lištu > 3-fázové elektromery"
Profesionálna audio technika > Svetlá > Špeciálne efekty a náplne;2;61;4;"Profesionálna audio technika > Svetlá > Špeciálne efekty a náplne; Profesionálna audio technika > Svetlá > Špeciálne efekty a náplne > Príslušenstvo k špeciálnym efektom; Profesionálna audio technika > Svetlá > Špeciálne efekty a náplne > Výrobníky dymu; Profesionálna audio technika > Svetlá > Špeciálne efekty a náplne > Výrobníky ťažkého dymu"
TV, audio a video > Antény a satelity > Satelitné príslušenstvo;2;61;5;"TV, audio a video > Antény a satelity > Satelitné príslušenstvo; TV, audio a video > Antény a satelity > Satelitné príslušenstvo > Multifeed LNB držiaky; TV, audio a video > Antény a satelity > Satelitné príslušenstvo > Multipřepínače; TV, audio a video > Antény a satelity > Satelitné príslušenstvo > Multipřepínače > 2 družice; TV, audio a video > Antény a satelity > Satelitné príslušenstvo > Rozbočovače satelitné"
Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Vypínače a zásuvky GALATEA IP44;2;61;1;
Kreatívne technológie > Tlačiarne a lisy na potlač textilu;1;61;1;
Fotovoltaika a energie > Záložné zdroje a UPS > Záložné zdroje pre oběhová čerpadlá;2;60;1;
Profesionálna audio technika > Pódium, diskotéka, DJ > mixy a powermixy;2;59;2;"Profesionálna audio technika > Pódium, diskotéka, DJ > mixy a powermixy; Profesionálna audio technika > Pódium, diskotéka, DJ > mixy a powermixy > audio (MMX-)"
Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy;2;58;1;
Fotovoltaika a energie > Fotovoltaika > Solárne regulátory;2;58;3;"Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory MPPT; Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory PWM; Fotovoltaika a energie > Fotovoltaika > Solárne regulátory > Solárne regulátory pre ohrev vody"
Fotovoltaika a energie > Fotovoltaika > Ochrana FV instalací;2;58;4;"Fotovoltaika a energie > Fotovoltaika > Ochrana FV instalací; Fotovoltaika a energie > Fotovoltaika > Ochrana FV instalací > Pojistné odpínače/odpojovače; Fotovoltaika a energie > Fotovoltaika > Ochrana FV instalací > Prepäťové ochrany; Fotovoltaika a energie > Fotovoltaika > Ochrana FV instalací > Uzemňovací prvky"
Auto-moto > Vybavenie auta > Osviežovače vzduchu;2;58;4;"Auto-moto > Vybavenie auta > Osviežovače vzduchu; Auto-moto > Vybavenie auta > Osviežovače vzduchu > Vône FRESH BAG; Auto-moto > Vybavenie auta > Osviežovače vzduchu > Vône Mr&Mrs CESARE; Auto-moto > Vybavenie auta > Osviežovače vzduchu > Vône SPEED"
Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka;2;58;2;"Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka > Kovová revízne dvierka; Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka > Plastová revízne dvierka"
Počítače a notebooky > Tlačiarne a skenery > Multifunkčné tlačiarne;2;57;2;"Počítače a notebooky > Tlačiarne a skenery > Multifunkčné tlačiarne > Atramentové multifunkčné tlačiarne; Počítače a notebooky > Tlačiarne a skenery > Multifunkčné tlačiarne > Laserové multifunkčné tlačiarne"
Šport, hračky a voľný čas > Podvodné skútre;1;57;1;
Auto-moto > Garáž, Dielňa, Servis > Heváky;2;57;1;
Auto-moto > Garáž, Dielňa, Servis > Autonářadí, doplnky;2;57;1;
Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty;2;57;4;"Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty > Prepojovacie lišty tvar kontaktu ""kolík/jazýček""; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty > Prepojovacie lišty tvar kontaktu ""vidlička""; Elektroinštalačný materiál > Rozvádzačové prvky > Prepojovacie lišty > Príslušenstvo pre prepojovacie lišty"
Auto-moto > Vybavenie auta > Adaptéry napájení;2;57;1;
Elektroinštalačný materiál > Inštalačné príslušenstvo > Káblová oká;2;57;1;
Profesionálna audio technika > JTS > Mikrofóny a bezdrôtové systémy;2;56;4;"Profesionálna audio technika > JTS > Mikrofóny a bezdrôtové systémy; Profesionálna audio technika > JTS > Mikrofóny a bezdrôtové systémy > Bezdrôtové systémy; Profesionálna audio technika > JTS > Mikrofóny a bezdrôtové systémy > Káblové mikrofóny; Profesionálna audio technika > JTS > Mikrofóny a bezdrôtové systémy > Príslušenstvo"
TV, audio a video > Antény a satelity > Pasívne prvky;2;55;5;"TV, audio a video > Antény a satelity > Pasívne prvky; TV, audio a video > Antény a satelity > Pasívne prvky > Odbočovače; TV, audio a video > Antény a satelity > Pasívne prvky > Rozbočovače; TV, audio a video > Antény a satelity > Pasívne prvky > Rozbočovače > Satelitné; TV, audio a video > Antény a satelity > Pasívne prvky > Rozbočovače > Televízne"
TV, audio a video > Audio technika > Soundbary;2;54;1;
Malé spotrebiče > Vzduchotechnika > Aroma difuzéry;2;54;1;Domáce spotrebiče > Malé spotrebiče > Vzduchotechnika > Aroma difuzéry
TV, audio a video > Antény a satelity > Koaxiálne káble;2;54;4;"TV, audio a video > Antény a satelity > Koaxiálne káble; TV, audio a video > Antény a satelity > Koaxiálne káble > Metráž; TV, audio a video > Antény a satelity > Koaxiálne káble > Vnútorné; TV, audio a video > Antény a satelity > Koaxiálne káble > Vonkajšie"
Elektroinštalačný materiál > Káble a vodiče > Fotovoltaické káble;2;54;1;
TV, audio a video > Audio technika > HiFi komponenty;2;53;4;"TV, audio a video > Audio technika > HiFi komponenty; TV, audio a video > Audio technika > HiFi komponenty > AV receivery; TV, audio a video > Audio technika > HiFi komponenty > Gramofóny; TV, audio a video > Audio technika > HiFi komponenty > Zosilňovače"
Foto a príslušenstvo > Filtre > Pre športové kamery;2;53;1;
Kreatívne technológie > 3D tlač > Príslušenstvo pre 3D tlačiarne;2;53;1;
Auto-moto > Garáž, Dielňa, Servis > Autodiagnostika;2;53;1;
Šport, hračky a voľný čas > Bojové športy > Chrániče;2;53;1;
Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k vysávačom;2;51;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k vysávačom
Auto-moto > Štartovacie káble;1;51;1;
Elektroinštalačný materiál > Zvončeky;1;51;1;
TV, audio a video > AV káble;1;51;1;
Náradie a dielňa > Mechanické náradie > Príslušenstvo ku gola sadám;2;51;3;"Náradie a dielňa > Mechanické náradie > Príslušenstvo ku gola sadám; Náradie a dielňa > Mechanické náradie > Príslušenstvo ku gola sadám > Nástrčné hlavice; Náradie a dielňa > Mechanické náradie > Príslušenstvo ku gola sadám > Nástrčné hlavice > 1/2"" nadstavce"
Auto-moto > Autorádiá;1;50;1;
Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble;2;50;3;"Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble; Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble > Měděné; Elektroinštalačný materiál > Káble a vodiče > Koaxiálne káble > Včetně konektorů"
Náradie a dielňa > Mechanické náradie > Kľúče;2;50;5;"Náradie a dielňa > Mechanické náradie > Kľúče; Náradie a dielňa > Mechanické náradie > Kľúče > HEX, IMBUS, TORX; Náradie a dielňa > Mechanické náradie > Kľúče > Očkoploché kľúče; Náradie a dielňa > Mechanické náradie > Kľúče > Očkové kľúče; Náradie a dielňa > Mechanické náradie > Kľúče > Ploché kľúče"
Profesionálna audio technika > JTS > Inštalácie;2;49;3;"Profesionálna audio technika > JTS > Inštalácie; Profesionálna audio technika > JTS > Inštalácie > Inštalačné konferenčné systémy JTS; Profesionálna audio technika > JTS > Inštalácie > Inštalačné mikrofóny"
Auto-moto > Vybavenie auta > Autokoberce;2;49;1;
TV, audio a video > Audio technika > Rádiá;2;49;1;
Náradie a dielňa > MERACIE TECHNIKA > Detektory;2;49;1;
Mobily, smart hodinky a tablety > Príslušenstvo > Nabíjačky pre mobily;2;48;1;
Veľké spotrebiče > Práčky > Práčky zepředu plnené;2;48;1;Domáce spotrebiče > Veľké spotrebiče > Práčky > Práčky zepředu plnené
Náradie a dielňa > MERACIE TECHNIKA > Testery;2;48;1;
Náradie a dielňa > Mechanické náradie > Kliešte;2;48;3;"Náradie a dielňa > Mechanické náradie > Kliešte; Náradie a dielňa > Mechanické náradie > Kliešte > Kliešte montážne; Náradie a dielňa > Mechanické náradie > Kliešte > Kliešte odizolovacie"
TV, audio a video > Diaľkové ovládače > AUDIO (AUX);2;48;2;"TV, audio a video > Diaľkové ovládače > AUDIO (AUX); TV, audio a video > Diaľkové ovládače > AUDIO (AUX) > Panasonic"
Malé spotrebiče > Vákuovačky a zváračky fólií > Vákuovačky a zváračky;2;47;1;Domáce spotrebiče > Malé spotrebiče > Vákuovačky a zváračky fólií > Vákuovačky a zváračky
Kreatívne technológie > 3D tlač > 3D tlačiarne;2;47;1;
Počítače a notebooky > Herné príslušenstvo > Okuliare pre rozšírenú realitu;2;47;1;
Elektroinštalačný materiál > Elektromery a spínacie technika > Termostaty;2;47;4;"Elektroinštalačný materiál > Elektromery a spínacie technika > Termostaty; Elektroinštalačný materiál > Elektromery a spínacie technika > Termostaty > Bezdrátové; Elektroinštalačný materiál > Elektromery a spínacie technika > Termostaty > Drátové; Elektroinštalačný materiál > Elektromery a spínacie technika > Termostaty > Zásuvkové"
Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Elektroinštalačný krabice;2;47;3;"Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Elektroinštalačný krabice; Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Elektroinštalačný krabice > Krabice na povrch; Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Elektroinštalačný krabice > Krabice zapuštěné (pod omítku)"
Auto-moto > Garáž, Dielňa, Servis > Autoplachty;2;47;1;
Zdravie a starostlivosť > Starostlivosť o zuby > Elektrické zubné kefky;2;46;1;
Malé spotrebiče > Žehličky > Sušiaky na bielizeň;2;46;1;Domáce spotrebiče > Malé spotrebiče > Žehličky > Sušiaky na bielizeň
Foto a príslušenstvo > Gimbály a stabilizátory;1;46;1;
Auto-moto > Diagnostické nástroje;1;46;1;
Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry;2;46;3;"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry; Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Běžecké pásy; Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry > Rotopedy"
Auto-moto > Nabíjanie > Nabíjačky a štartovacie boxy;2;45;1;
Malé spotrebiče > Kávovary a espressá > Káva;2;44;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Káva
Náradie a dielňa > SPÁJKOVACIE TECHNIKA > Ručné spájkovačky, trafopájky;2;44;1;
Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku;2;44;3;"Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Dutinky na kabel; Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Konektory MC4; Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Káblová očká"
Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka;2;44;2;"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka; Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Plastová revízne dvierka"
Náradie a dielňa > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie > Kotúče rezacie, pílové, brúsne;2;44;3;"Náradie a dielňa > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie > Kotúče rezacie, pílové, brúsne; Náradie a dielňa > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie > Kotúče rezacie, pílové, brúsne > Kotúče lamelové; Náradie a dielňa > Náradie pre brúsenie, vŕtanie, rezanie a pilovanie > Kotúče rezacie, pílové, brúsne > Kotúče rezacie na kov"
